BS,0,0,0,21,21,26,31,35,35,35,43,60,63,67
AK,0,21,27,28,40,43,43,46,65,65,69,69,86,85
JK,4,30,45,40,51,37,33,52,53,74,78,83,83,85
GB,17,43,43,48,55,82,92,87,88,88,93,92,93,109
