TK,16,16,20,23,23,23,28,28,32,40,52,57,53,62,64,72,87,89
FC,0,15,15,28,42,44,44,41,41,41,45,45,54,57,75,84,84,86
AK,5,7,21,26,35,35,38,39,52,65,66,69,82,91,91,95,99,107
GB,0,4,7,7,5,24,37,60,64,64,68,81,84,84,85,85,87,96
