FC,5,7,7,22,26,26,34,49,67,69,69,72,76,80,83,78,96,91
BS,19,23,30,25,38,63,48,62,62,63,66,81,81,76,74,74,75,75
GB,03,10,24,30,34,30,58,59,62,70,74,71,69,75,79,96,98,112
AK,0,2,2,7,7,7,7,8,8,9,23,28,47,63,79,88,88,100
