GB,0,-2,19,24,19,25,33,35,33,58,53
BS,17,34,34,34,60,55,62,60,63,59,85
AK,0,0,1,7,33,33,39,39,55,55,81
JK,5,10,9,19,45,65,65,86,90,90,116
