GB,1,2,20,18,25,41,58,59,56,56,51,51
JK,4,18,21,34,30,30,34,30,30,30,56,57
BS,4,5,3,12,13,15,16,40,60,72,98,106
AK,12,17,19,20,37,40,39,39,43,52,78,90
