TK,3,3,3,3,6,19,14,14,9,26,26,46,54,66,71,84,84
BS,18,19,21,25,44,45,45,59,59,59,59,59,60,65,63,67,68
GB,3,3,2,18,15,15,18,18,31,34,54,54,63,66,82,87,107
AK,-3,17,37,38,40,56,70,77,90,91,92,93,96,97,99,98,98
