AK,18,20,20,21,24,24,27,25,25,25,25,25,42,51,51,47
JK,-3,-5,16,28,30,51,51,59,60,60,55,67,67,76,89,93
GB,3,21,24,42,47,47,60,60,60,65,66,73,76,84,105
BS,3,6,3,3,4,4,9,24,44,50,86,87,90,91,91,91
