BS,0,1,3,3,14,12,29,29,44,48,58,77,81,81,76
AK,5,8,22,37,47,53,57,61,65,65,74,75,75,90,92
GB,16,29,29,32,32,49,49,61,62,66,66,68,85,87,111
JK,0,4,9,12,12,12,12,17,18,31,33,32,32,36,36
