GB,14,18,18,29,33,33,38,38,33,33,36,62
AK,0,21,21,27,27,47,47,47,73,89,90,116
BS,12,8,8,8,13,18,20,37,63,67,80,106
PB,-5,-5,16,20,32,28,42,46,72,73,77,72
