GB,1,5,6,8,8,8,15,15,24,24,23,23,25
BS,2,2,9,27,28,42,47,55,59,67,85,89,89
AK,21,21,34,34,29,32,32,41,41,41,41,49,50
TK,-3,14,14,15,40,44,53,57,65,78,82,91,109
