TK,0,-5,11,11,37,43,43,42,55,66,68,85,87,113
AK,5,9,9,9,30,31,51,51,51,59,75,75,98,119
GB,8,14,16,24,50,49,49,49,54,56,51,55,50,76
BS,8,24,27,40,40,55,56,78,81,81,89,89,90,90
